word	level	pinyin	gloss
狼吞虎咽	HSK7-9	láng tūn hǔ yàn	to wolf down one's food (idiom); to devour ravenously; to gorge oneself
理所当然	HSK7-9	lǐ suǒ dāng rán	as it should be by rights (idiom); proper and to be expected as a matter of course; inevitable and right
理直气壮	HSK7-9	lǐ zhí qì zhuàng	in the right and self-confident (idiom); bold and confident with justice on one's side; to have the courage...
琴棋书画	HSK7-9	qín qí shū huà	(idiom) the four arts of the Chinese scholar (guqin, Go, calligraphy and painting); (by extension) the acco...
画蛇添足	HSK7-9	huà shé tiān zú	lit. draw legs on a snake (idiom); fig. to ruin the effect by adding sth superfluous; to overdo it
画龙点睛	HSK7-9	huà lóng diǎn jīng	to paint a dragon and dot in the eyes (idiom); fig. to add the vital finishing touch; the crucial point tha...
皆大欢喜	HSK7-9	Jiē dà huān xǐ	As You Like It, comedy by Shakespeare
盛气凌人	HSK7-9	shèng qì líng rén	overbearing; arrogant bully
目不转睛	HSK7-9	mù bù zhuǎn jīng	unable to take one's eyes off (idiom); to gaze steadily; to stare
目中无人	HSK7-9	mù zhōng wú rén	to consider everyone else beneath one (idiom); so arrogant that no-one else matters; condescending
目瞪口呆	HSK7-9	mù dèng kǒu dāi	(idiom) dumbstruck; stupefied; stunned
相提并论	HSK7-9	xiāng tí bìng lùn	to discuss two disparate things together (idiom); to mention on equal terms; to place on a par with
相辅相成	HSK7-9	xiāng fǔ xiāng chéng	(idiom) to complement one another
眉开眼笑	HSK7-9	méi kāi yǎn xiào	brows raised in delight, eyes laughing (idiom); beaming with joy; all smiles
知足常乐	HSK7-9	zhī zú cháng lè	satisfied with what one has (idiom)
礼尚往来	HSK7-9	lǐ shàng wǎng lái	lit. proper behavior is based on reciprocity (idiom); fig. to return politeness for politeness
称心如意	HSK7-9	chèn xīn rú yì	(idiom) after one's own heart; gratifying; satisfactory; everything one could wish
突如其来	HSK7-9	tū rú qí lái	to arise abruptly; to arrive suddenly
竭尽全力	HSK7-9	jié jìn quán lì	(idiom) to spare no effort; to do one's utmost
粗心大意	HSK7-9	cū xīn dà yì	negligent; careless
精打细算	HSK7-9	jīng dǎ xì suàn	meticulous planning and careful accounting (idiom)
精疲力竭	HSK7-9	jīng pí lì jié	spirit weary, strength exhausted (idiom); spent; drained
精益求精	HSK7-9	jīng yì qiú jīng	(idiom) to constantly seek to improve; to keep perfecting
素不相识	HSK7-9	sù bù xiāng shí	to be total strangers (idiom)
约定俗成	HSK7-9	yuē dìng sú chéng	established by popular usage (idiom); common usage agreement; customary convention
纸上谈兵	HSK7-9	zhǐ shàng tán bīng	lit. military tactics on paper (idiom); fig. theoretical discussion that is worse than useless in practice
经久不息	HSK7-9	jīng jiǔ bù xī	(idiom) prolonged (applause, cheering etc)
绘声绘色	HSK7-9	huì shēng huì sè	vivid and colorful (idiom); true to life; lively and realistic
络绎不绝	HSK7-9	luò yì bù jué	(idiom) continuously; in an endless stream
罪魁祸首	HSK7-9	zuì kuí huò shǒu	(idiom) criminal ringleader; main offender; main culprit; main cause of a disaster
美中不足	HSK7-9	měi zhōng bù zú	everything is fine except for one small defect (idiom); the fly in the ointment
翻天覆地	HSK7-9	fān tiān fù dì	sky and the earth turning upside down (idiom); fig. complete confusion; everything turned on its head
翻来覆去	HSK7-9	fān lái fù qù	to toss and turn (sleeplessly); again and again
耐人寻味	HSK7-9	nài rén xún wèi	(idiom) thought-provoking; to provide food for thought
耳熟能详	HSK7-9	ěr shú néng xiáng	what's frequently heard can be repeated in detail (idiom)
耳目一新	HSK7-9	ěr mù yī xīn	a pleasant change; a breath of fresh air
聚精会神	HSK7-9	jù jīng huì shén	to concentrate one's attention (idiom)
肆无忌惮	HSK7-9	sì wú jì dàn	absolutely unrestrained; unbridled
胡思乱想	HSK7-9	hú sī luàn xiǎng	(idiom) to indulge in flights of fancy; to let one's imagination run wild
胸有成竹	HSK7-9	xiōng yǒu chéng zhú	(idiom) to have a well-thought-out plan in mind
脚踏实地	HSK7-9	jiǎo tà shí dì	to have one's feet firmly planted on the ground (idiom); realistic without flights of fancy; steady and ser...
脱口而出	HSK7-9	tuō kǒu ér chū	(idiom) to blurt out; to let slip (an indiscreet remark)
脱颖而出	HSK7-9	tuō yǐng ér chū	to reveal one's talent (idiom); to rise above others; to distinguish oneself
自以为是	HSK7-9	zì yǐ wéi shì	to believe oneself infallible (idiom); to be opinionated
自力更生	HSK7-9	zì lì gēng shēng	regeneration through one's own effort (idiom); self-reliance
自始至终	HSK7-9	zì shǐ zhì zhōng	from start to finish (idiom)
自强不息	HSK7-9	zì qiáng bù xī	to strive unremittingly; self-improvement
自然而然	HSK7-9	zì rán ér rán	(idiom) natural; unforced; (idiom) naturally; as a matter of course; in the natural course of things
自相矛盾	HSK7-9	zì xiāng máo dùn	to contradict oneself; self-contradictory
自言自语	HSK6	zì yán zì yǔ	(idiom) to talk to oneself; to think aloud; to soliloquize
节衣缩食	HSK7-9	jié yī suō shí	to save on food and clothing (idiom); to live frugally
苦尽甘来	HSK7-9	kǔ jìn gān lái	bitterness finishes, sweetness begins (idiom); the hard times are over, the good times just beginning
莫名其妙	HSK7-9	mò míng qí miào	(idiom) baffling; bizarre; without rhyme or reason; inexplicable
萍水相逢	HSK7-9	píng shuǐ xiāng féng	strangers coming together by chance (idiom)
衣食住行	HSK6	yī shí zhù xíng	lit. clothing, food, housing and transportation (idiom); fig. people's basic needs
袖手旁观	HSK7-9	xiù shǒu páng guān	to watch with folded arms (idiom); to look on without lifting a finger
见义勇为	HSK7-9	jiàn yì yǒng wéi	(idiom, from the Analects) (usu. of a passer-by who comes across a critical situation) to step in and help...
见仁见智	HSK7-9	jiàn rén jiàn zhì	opinions differ (idiom)
见利忘义	HSK7-9	jiàn lì wàng yì	(idiom) to abandon moral principles in the pursuit of profit
见多识广	HSK7-9	jiàn duō shí guǎng	(idiom) experienced and knowledgeable
触目惊心	HSK7-9	chù mù jīng xīn	lit. shocks the eye, astonishes the heart (idiom); shocking; horrible to see
讨价还价	HSK7-9	tǎo jià huán jià	to haggle over price; to bargain
记忆犹新	HSK7-9	jì yì yóu xīn	to remain fresh in one's memory (idiom)
诸如此类	HSK7-9	zhū rú cǐ lèi	things like this (idiom); and so on; and the rest
赞不绝口	HSK7-9	zàn bù jué kǒu	to praise without cease (idiom); praise sb to high heaven
走投无路	HSK7-9	zǒu tóu wú lù	to be at an impasse (idiom); in a tight spot
足不出户	HSK7-9	zú bù chū hù	(idiom) to not leave one's home; to stay indoors
足智多谋	HSK7-9	zú zhì duō móu	resourceful; full of stratagems
身不由己	HSK7-9	shēn bù yóu jǐ	(idiom) (of one's circumstances) beyond one's control; unable to do anything about it; (of one's actions) n...
轻而易举	HSK7-9	qīng ér yì jǔ	easy; with no difficulty
运筹帷幄	HSK7-9	yùn chóu wéi wò	lit. to devise battle plan in a tent (idiom); fig. planning strategies
迫不及待	HSK7-9	pò bù jí dài	(idiom) unable to hold oneself back; eager to do sth without delay
酸甜苦辣	HSK5	suān tián kǔ là	lit. sour, sweet, bitter and spicy (idiom); fig. all kinds of flavors; the joys and sorrows of life
针锋相对	HSK7-9	zhēn fēng xiāng duì	to oppose each other with equal harshness (idiom); tit for tat; measure for measure
错综复杂	HSK7-9	cuò zōng fù zá	tangled and complicated (idiom)
锦上添花	HSK7-9	jǐn shàng tiān huā	lit. add flowers to brocade (idiom); fig. to give sth additional splendor
锲而不舍	HSK7-9	qiè ér bù shě	to chip away at a task and not abandon it (idiom); to chisel away at sth; to persevere
随心所欲	HSK7-9	suí xīn suǒ yù	(idiom) to follow one's heart's desires; to do as one pleases
随时随地	HSK7-9	suí shí suí dì	anytime and anywhere
难以置信	HSK7-9	nán yǐ zhì xìn	(idiom) hard to believe; incredible
难能可贵	HSK7-9	nán néng kě guì	rare and precious; valuable
集思广益	HSK7-9	jí sī guǎng yì	collecting opinions is of wide benefit (idiom); to pool wisdom for mutual benefit; to profit from widesprea...
雪上加霜	HSK7-9	xuě shàng jiā shuāng	(idiom) to make matters even worse; to add insult to injury
面目全非	HSK7-9	miàn mù quán fēi	nothing remains the same (idiom); change beyond recognition
面红耳赤	HSK7-9	miàn hóng ěr chì	flushed with anger (or excitement)
面面俱到	HSK7-9	miàn miàn jù dào	(idiom) take care of everything; handle everything
顺理成章	HSK7-9	shùn lǐ chéng zhāng	logical; only to be expected
顾全大局	HSK7-9	gù quán dà jú	to take the big picture into consideration (idiom); to work for the benefits of all
顾名思义	HSK7-9	gù míng sī yì	as the name implies
颠倒黑白	HSK7-9	diān dǎo hēi bái	lit. to invert black and white (idiom); to distort the truth deliberately; to misrepresent the facts
风吹雨打	HSK7-9	fēng chuī yǔ dǎ	lit. windswept and battered by rain; to undergo hardship (idiom)
风和日丽	HSK7-9	fēng hé rì lì	moderate wind, beautiful sun (idiom); fine sunny weather, esp. in springtime
风土人情	HSK7-9	fēng tǔ rén qíng	local conditions and customs (idiom)
风雨无阻	HSK7-9	fēng yǔ wú zǔ	regardless of weather conditions; rain, hail or shine
风餐露宿	HSK7-9	fēng cān lù sù	lit. to eat in the open air and sleep outdoors (idiom); fig. to rough it
飞禽走兽	HSK7-9	fēi qín zǒu shòu	(idiom) birds and animals
饱经沧桑	HSK7-9	bǎo jīng cāng sāng	having lived through many changes
骇人听闻	HSK7-9	hài rén tīng wén	shocking; horrifying
鸦雀无声	HSK7-9	yā què wú shēng	lit. crow and peacock make no sound; absolute silence (idiom); not a single voice can be heard
鹏程万里	HSK7-9	péng chéng wàn lǐ	the fabled roc flies ten thousand miles (idiom); one's future prospects are brilliant
鹤立鸡群	HSK7-9	hè lì jī qún	a crane in a flock of chicken (idiom); way above the common; manifestly superior
默默无闻	HSK7-9	mò mò wú wén	(idiom) unknown; unrenowned
齐心协力	HSK7-9	qí xīn xié lì	to work with a common purpose (idiom); to make concerted efforts; to pull together
